id,name,type,category,grade_level_start,grade_level_end,current_enrollment,address_text,state_name,state_code,pin_code,contact_name,contact_designation,contact_phone,contact_email,status,notes,referenced_by,supported_by
1,Z P H  School G  - 4 .,,1,12,,,Nakshatra  Enclave . Police Raj road - Near - Sri Chaithanya Techno School Payaka Rao Pet - Anakapalli Dist AP,,,,Smt. Vijaya Bhanu Kote,,9502247679 / 8247769052,,,,,PGNF
2,Chethana School,,,,,,Chowdavaram Village Guntur (District) AP - 522019,,,,Ms. Marudwathi,,9848132435,,,,,PGNF
3,Librarian Z P H. School.,,,,,,Unnava (Village) Edlapadu (Mandal) Guntur (District) AP - 522233,,,,Kakumanu Hima Bindu,,9505550075,,,,,PGNF
4,Abhyasa vidyalaya,,,,,,Near Water tank Gangireddula dibba Gunadala Vijayawada - 520010,,,,Krishna,,9440579922,,,,,PGNF
5,C E O H E A L Paradise,,,,,,Thotapalli post - Agiripalli mandal - Krishna (Dt.) AP - 521211,,,,Sri Ajay Kumar,,7032885515,,,,,PGNF
6,Principal Pragathi Vidya Nikethan  ( P V N ),,,,,,Opp : sub station Prashanthi Hills Phase - 1 - Road .,,,,Smt  Madhavi,,9490233878,,,,,PGNF
7,Head Master Govt A G H School,,,,,,Chintoor - vill/ PO / & mandal .,,,,Smt. Krishna Kumari,,7673947896,,,,,PGNF
8,Aravinda model school.,,,,,,Mangalagiri Guntur (Dt.) AP - 522501,,,,Smt. Indrani,,703249666,,,,,PGNF
9,Head Master Z P H  School,,,,,,Boggaram - village & post Eepuru (Mandal) Palnadu (District) AP - 522658,,,,Sri Ch.Veerappayya,,9949931545,,,,,PGNF
10,VIVA the School,,,,,,V V I T campus Nambur village Peda kakani (Mandal) Guntur (District) AP - 522508,,,,Modugula Ravi Krishna,,9440320580,,,,,PGNF
11,ZP High School,,,,,,Cheruvu Jammula Palem Bapatla (Dt.) AP 522113,,,,Subhani,,7995872899,,,,,PGNF
12,Head Master Govt. High School,,,,,,(Main Road) Yellandu (p.o) Bhadradri Kothagudem Telangana - 507123 Dist. Co-Education School. 6th to 10th class. Both Media TM & EM Total Strength. 200.,,,,Swamy,,970 144 5736,,,,,PGNF
13,Mary Swarna Latha (HM),,,,,, Cheerlavancha,,,,9441974422,,ZP High School,,,,,PGNF
14,T.S.R. Prasad,,,,,, Telangana,,,,984 903 1630,,Krushi Home for Street Children Hyderabad,,,,,PGNF
15,H M : Nagamuni Reddy,,,,,, Rayachoti -Galiveedu Rd,,,,9441124310,,ZPHS Madhavaram,,,,,PGNF
16,Dr. M. Harikishan,,,,,, AP,,,,94410 32212,,ZPH School Amadaguntla Kodumur Mandal Kurnool (Dt.),,,,,PGNF
17,Sri Venkata Subba Reddy,,,,,,Srikanth Tirumala,,,,8106050045,,Z P H School ( Boys) Badvel Kadapa Dist,,,,,PGNF
18,SJRRMMC High school .,,,,,, Opp: Bhaskar Deluxe Theatre Kotha pet Guntur,,,,9491672311,,Ms. Sudha Rani .,,,,,PGNF
19,Venkata Kotaiah Balijepalli,,,,,, AP,,,,91777 14380,,ZP High School Adusumalli (Village) Bapatla (Dt.),,,,,PGNF
20,shyamala nagar school,,,,,, Guntur,,,,Sri Venkateswara Bala Kuteer 3rd Line,, Syamala Nagar,,,,,PGNF
21,Cheerlavancha Elementary School - 1,,,,,,Siva Jasthi,,,,,,Babu Dundrapelly,,,,,PGNF
22,Cheerlavancha Elementary School - 2,,,,,,Siva Jasthi,,,,,,Babu Dundrapelly,,,,,PGNF
23,Sri Nagaraja Special Muncipal Corporation Elementary School,,,,,,Rajamahendravaram East Godavari (Dt.),,,,Vivek Kommireddy (Plymouth,, MN),,,,,PGNF
24,The Indo-English School,,,,,,Chundurivari Veedhi,,,,6281 459 914,,Jyothi (Admin),,,,,PGNF
25,MPPS,,,,,,Belupalli (Village),,,,P. Subramanyam (Telugu Teacher),,9502407323,,,,,PGNF
26,MPPS Machireddy Pally,,,,,,Nagaram (Mandal),,,,KLN Rao,,9848105200,,,,,PGNF
27,MPP School,,,,,,Venkatagiri,,,,,,Manoja Namuburi,,,,,PGNF
28,Vunnava MPPS (Surya Nagar Elementary School),,,,,,Gopichand Jasthi,,,,,,Himabindu Kakumanu,,,,,PGNF
29,Vunnava MPPS (Udayapuri Elementary School),,,,,,Gopichand Jasthi,,,,,,Himabindu Kakumanu,,,,,PGNF
30,Vunnava MPPS (Yanadi Mastari School / HE School),,,,,,Gopichand Jasthi,,,,,,Himabindu Kakumanu,,,,,PGNF
31,Vunnava MPPS (Main Elementary School),,,,,,Gopichand Jasthi,,,,,,Himabindu Kakumanu,,,,,PGNF
32,M P U P School,,,,,,Inkollu mandal Bapatla District Pin. 523190,,,,,,Veera Reddy - teacher,,,,,PGNF
33,M P U P School .,,,,,,Near Rajamandry - E G Dist .,,,,,,Smt Madhavi varigonda,,,,,PGNF
34,M P U P School .,,,,,,Medak Dist - 502316 .,,,,9010902056,,Ravi Raju - H M,,,,,PGNF
35,M P U P School .,,,,,,Vijayanagaram Dist - Pin 535273,,,,9704487533,,Rajesh Koluri (Cell 9704487533),,,,,PGNF
36,Farm Hill learning .,,,,,,Shoolagiri Krishna giri Dist - 635117 Tamilnadu .,,,,8431032239,,Venu  &  Chitra,,,,,PGNF
37,Amma Social Welfare Association,,,,,,Shadnagar Ranga Reddy Dist,,,,,,Haritha:  +91 99497 89229,,,,,PGNF
38,LR Primary /  Elementary School,,,,,,Alokam Peddabbai (School Committee President),,,,98667 27707,,Rayappa,,,,,PGNF
39,Nagalakshmi,,,,,,,,,,,,+91 94908 87025,,,,,PGNF
40,S. Chalapathi,,,,,,S. R . Nagar .,,,,9989520053,,,,,,,PGNF
41,ZPHS,,,,,,ZPH School Chinna Hothur Aspari Mandal Kurnool (Dt.),,,,94914 07655,,K. Chandra Moulini,,,,,PGNF
42,ZPHS,,,,,,ZPH SCHOOL PYDIBHEAVARAM RANASTHALAM Md SRIKAKULAM Dt,,,,9441259972,,Dr. S. YELLAYYA,,,,,PGNF
43,ZPHS,,,,,,Balaji Paripati (Dallas,,,,,,Belupalli Baireddy (ZPHS),,,,,PGNF
44,AP Residential High School (Tadikonda),,,,,,A P Residential School  .,,,,9618817161,,Smt  Bala Sri,,,,,PGNF
45,Intel High School (perecherla,,,,,,Dr. Jayakumar,,,, guntur),,,,,,,PGNF
46,Abbinenigunta vari palem,,,,,,Abbineniguntapalem,,,,,,Mrs Leela Rani garu,,,,,PGNF
47,ZILLA PARISHAD HIGH SCHOOL;,,,,,,LINGARAOPALEM; EDALAPADU MANDAL; GUNTUR Dt.,,,," ""91 91540 39037",,P. Srinivasa Rao,,,,,PGNF
48,Sri Mavuleti Soma Raju zilla praja parishad high school,,,,,,G.Kanaka Durga Suneetha,,,,,,D.Durga Prasad (Library Assistant),,,,,PGNF
49,Z P H School .,,,,,,Kondapuram  (Mandal) Nellore district - 524228,,,,,,V Naresh .,,,,,PGNF
50,K R Z P H School .,,,,,,Rajanna Sirisilla Dist Telangana state,,,,9848377734,,P . Shankar,,,,,PGNF
51,M P P school .,,,,,,TARLUPADU MANDAL Prakasam Dist Pin Code: 523371,,,,,,K Sudha Rani .,,,,,PGNF
52,Lalitha Budarapu,,,,,,Ramagiri mandal,,,,6300989173,,Lalitha Budarapu,,,,,PGNF
53,M P P school .,,,,,,Vizianagaram district,,,,,,Vaddi Usha Rani .,,,,,PGNF
54,M P P school .,,,,,,Nellore District,,,,,,T.LakshmiBhavani.,,,,,PGNF
55,M P P School .,,,,,,Chittore Dist PIN 517408,,,,9492551451,,Vadla Hari Prasad .,,,,,PGNF
id,school_name,,,,,,address_text,,,,contact_name,,contact_phone,,,,,PGNF
